,B-cells,Granulocytes,T-cells,NK cells,Monocytes
NormMix,2.5,67,20,1.5,9
MTpen,6,70.5,6,5,12.5
STpen,7,71.5,2,6,13.5
Gosis,0,90,10,0,0
Gpen,17,9,34.5,16,23.5
Bpen,0.5,67.5,20.5,2,9.5
Mosis,0,61,14,0,25
